lat,long
32.085447,34.770363
32.085477,34.770288
32.085186,34.771272
32.079797,34.767027
32.077944,34.774136
32.07618,34.774633
32.081144,34.773825
32.08138,34.773791
32.081388,34.77378
32.077783,34.766452
32.077786,34.766461
32.18721,34.80421
32.045101,34.76971
32.045101,34.76971
32.496897,34.890019
32.501288,34.89088
32.496102,34.89105
32.501608,34.889872
32.501997,34.889705
32.499802,34.890638
32.497405,34.890475
32.502022,34.889738
32.502025,34.889727
32.502027,34.889722
32.496422,34.891091
32.49623,34.891113
32.496186,34.891086
32.496086,34.891038
32.501202,34.891008
32.499194,34.890486
32.497127,34.889925
32.497252,34.889486
32.497236,34.889377
32.49663,34.890088
32.499763,34.890575
32.079888,34.768316
32.07178,34.769408
32.075502,34.766597
32.077744,34.766536
32.917198,35.304199
31.389299,35.36124
31.389299,35.36124
32.17238,34.901358
32.168372,34.898355
32.168136,34.896991
32.169077,34.900519
32.169347,34.900752
32.169088,34.900852
32.170677,34.901208
32.170741,34.901016
32.167786,34.896272
32.167961,34.896213
32.168022,34.896219
32.170741,34.901255
32.173552,34.904036
32.172694,34.903005
32.172733,34.903058
32.170741,34.901255
32.170452,34.900711
32.169088,34.900852
32.169144,34.900863
32.168986,34.900494
32.169319,34.9004
31.389299,35.36124
32.171111,34.901261
32.17033,34.901138
32.170497,34.900819
32.082861,34.768638
32.084347,34.769211
32.102205,34.775488
32.102177,34.775461
32.085161,34.769283
32.100313,34.774077
32.094555,34.772122
32.099105,34.773333
32.095133,34.772063
32.075836,34.765758
32.075394,34.765802
32.082661,34.768502
32.082661,34.768516
32.097102,34.777969
32.096722,34.784877
32.099063,34.777713
32.097183,34.789491
32.097194,34.789655
32.097269,34.790313
32.09728,34.790477
32.097272,34.790463
32.096747,34.784622
32.102169,34.775452
32.085191,34.769138
32.096761,34.783144
32.096544,34.779336
32.100005,34.777544
32.084922,34.768852
32.10025,34.774036
32.100244,34.774027
32.098727,34.773702
32.079819,34.767061
32.080744,34.767461
32.080819,34.767441
32.080386,34.767344
